 id  | building_type_id | level | food_cost | wood_cost | stone_cost | iron_cost | gold_cost | build_seconds | food_per_hour | wood_per_hour | stone_per_hour | iron_per_hour | gold_per_hour 
-----+------------------+-------+-----------+-----------+------------+-----------+-----------+---------------+---------------+---------------+----------------+---------------+---------------
   1 |                1 |     1 |         0 |         0 |          0 |         0 |         0 |           300 |             0 |             0 |              0 |             0 |             0
   2 |                1 |     2 |         0 |      3000 |       3000 |      1000 |      2000 |           600 |             0 |             0 |              0 |             0 |             0
   3 |                1 |     3 |         0 |     10000 |      10000 |      5000 |      5000 |           900 |             0 |             0 |              0 |             0 |             0
   8 |                1 |     4 |         0 |     30000 |      30000 |     10000 |     10000 |          1200 |             0 |             0 |              0 |             0 |             0
   9 |                1 |     5 |         0 |     60000 |      60000 |     20000 |     20000 |          1500 |             0 |             0 |              0 |             0 |             0
  10 |                1 |     6 |         0 |    120000 |     120000 |     40000 |     40000 |          1800 |             0 |             0 |              0 |             0 |             0
  11 |                1 |     7 |         0 |    240000 |     240000 |     80000 |     80000 |          2100 |             0 |             0 |              0 |             0 |             0
  12 |                1 |     8 |         0 |    480000 |     480000 |    160000 |    160000 |          2400 |             0 |             0 |              0 |             0 |             0
  13 |                1 |     9 |         0 |    960000 |     960000 |    320000 |    320000 |          2700 |             0 |             0 |              0 |             0 |             0
  14 |                2 |     1 |         0 |      1000 |          0 |         0 |         0 |           300 |             0 |             0 |              0 |             0 |             0
  15 |                2 |     2 |         0 |      3000 |          0 |         0 |         0 |           600 |             0 |             0 |              0 |             0 |             0
  16 |                2 |     3 |         0 |     10000 |          0 |         0 |         0 |           900 |             0 |             0 |              0 |             0 |             0
  17 |                2 |     4 |         0 |     30000 |          0 |         0 |         0 |          1200 |             0 |             0 |              0 |             0 |             0
  18 |                2 |     5 |         0 |     60000 |          0 |         0 |         0 |          1500 |             0 |             0 |              0 |             0 |             0
  19 |                2 |     6 |         0 |    120000 |          0 |         0 |         0 |          1800 |             0 |             0 |              0 |             0 |             0
  20 |                2 |     7 |         0 |    240000 |          0 |         0 |         0 |          2100 |             0 |             0 |              0 |             0 |             0
  21 |                2 |     8 |         0 |    480000 |          0 |         0 |         0 |          2400 |             0 |             0 |              0 |             0 |             0
  22 |                2 |     9 |         0 |    960000 |          0 |         0 |         0 |          2700 |             0 |             0 |              0 |             0 |             0
  23 |                2 |    10 |         0 |   1900000 |          0 |         0 |         0 |          3000 |             0 |             0 |              0 |             0 |             0
  24 |                3 |     1 |         0 |         0 |       2000 |         0 |         0 |           300 |             0 |             0 |              0 |             0 |             0
  25 |                3 |     2 |         0 |         0 |       6000 |         0 |         0 |           600 |             0 |             0 |              0 |             0 |             0
  26 |                3 |     3 |         0 |         0 |      20000 |         0 |         0 |           900 |             0 |             0 |              0 |             0 |             0
  27 |                3 |     4 |         0 |         0 |      60000 |         0 |         0 |          1200 |             0 |             0 |              0 |             0 |             0
  28 |                3 |     5 |         0 |         0 |     120000 |         0 |         0 |          1500 |             0 |             0 |              0 |             0 |             0
  29 |                3 |     6 |         0 |         0 |     240000 |         0 |         0 |          1800 |             0 |             0 |              0 |             0 |             0
  30 |                3 |     7 |         0 |         0 |     480000 |         0 |         0 |          2100 |             0 |             0 |              0 |             0 |             0
  31 |                3 |     8 |         0 |         0 |     960000 |         0 |         0 |          2400 |             0 |             0 |              0 |             0 |             0
  32 |                3 |     9 |         0 |         0 |    1900000 |         0 |         0 |          2700 |             0 |             0 |              0 |             0 |             0
  33 |                3 |    10 |         0 |         0 |    3800000 |         0 |         0 |          3000 |             0 |             0 |              0 |             0 |             0
  34 |                4 |     1 |         0 |         0 |       1000 |         0 |         0 |           300 |             0 |             0 |              0 |             0 |             0
  35 |                4 |     2 |         0 |         0 |       3000 |         0 |         0 |           600 |             0 |             0 |              0 |             0 |             0
  36 |                4 |     3 |         0 |         0 |      10000 |         0 |         0 |           900 |             0 |             0 |              0 |             0 |             0
  37 |                4 |     4 |         0 |         0 |      30000 |         0 |         0 |          1200 |             0 |             0 |              0 |             0 |             0
  38 |                4 |     5 |         0 |         0 |      60000 |         0 |         0 |          1500 |             0 |             0 |              0 |             0 |             0
  39 |                4 |     6 |         0 |         0 |     120000 |         0 |         0 |          1800 |             0 |             0 |              0 |             0 |             0
  40 |                4 |     7 |         0 |         0 |     240000 |         0 |         0 |          2100 |             0 |             0 |              0 |             0 |             0
  41 |                4 |     8 |         0 |         0 |     480000 |         0 |         0 |          2400 |             0 |             0 |              0 |             0 |             0
  42 |                4 |     9 |         0 |         0 |     960000 |         0 |         0 |          2700 |             0 |             0 |              0 |             0 |             0
  43 |                4 |    10 |         0 |         0 |    1900000 |         0 |         0 |          3000 |             0 |             0 |              0 |             0 |             0
   4 |                5 |     1 |         0 |       500 |          0 |         0 |         0 |           300 |           120 |             0 |              0 |             0 |             0
 175 |                5 |     2 |         0 |      1000 |          0 |         0 |         0 |           600 |           100 |             0 |              0 |             0 |             0
 176 |                5 |     3 |         0 |      3000 |          0 |         0 |         0 |           900 |           200 |             0 |              0 |             0 |             0
 177 |                5 |     4 |         0 |     10000 |          0 |         0 |         0 |          1200 |           400 |             0 |              0 |             0 |             0
 178 |                5 |     5 |         0 |     20000 |          0 |         0 |         0 |          1500 |           800 |             0 |              0 |             0 |             0
 179 |                5 |     6 |         0 |     40000 |          0 |         0 |         0 |          1800 |          1600 |             0 |              0 |             0 |             0
 180 |                5 |     7 |         0 |     80000 |          0 |         0 |         0 |          2100 |          3200 |             0 |              0 |             0 |             0
 181 |                5 |     8 |         0 |    160000 |          0 |         0 |         0 |          2400 |          6400 |             0 |              0 |             0 |             0
 182 |                5 |     9 |         0 |    320000 |          0 |         0 |         0 |          2700 |         12800 |             0 |              0 |             0 |             0
 183 |                5 |    10 |         0 |    640000 |          0 |         0 |         0 |          3000 |         25600 |             0 |              0 |             0 |             0
 184 |                6 |     1 |         0 |       500 |          0 |         0 |         0 |           300 |             0 |           120 |              0 |             0 |             0
 185 |                6 |     2 |         0 |      1000 |          0 |         0 |         0 |           600 |             0 |           100 |              0 |             0 |             0
 186 |                6 |     3 |         0 |      3000 |          0 |         0 |         0 |           900 |             0 |           200 |              0 |             0 |             0
 187 |                6 |     4 |         0 |     10000 |          0 |         0 |         0 |          1200 |             0 |           400 |              0 |             0 |             0
 188 |                6 |     5 |         0 |     20000 |          0 |         0 |         0 |          1500 |             0 |           800 |              0 |             0 |             0
 189 |                6 |     6 |         0 |     40000 |          0 |         0 |         0 |          1800 |             0 |          1600 |              0 |             0 |             0
 190 |                6 |     7 |         0 |     80000 |          0 |         0 |         0 |          2100 |             0 |          3200 |              0 |             0 |             0
 191 |                6 |     8 |         0 |    160000 |          0 |         0 |         0 |          2400 |             0 |          6400 |              0 |             0 |             0
 192 |                6 |     9 |         0 |    320000 |          0 |         0 |         0 |          2700 |             0 |         12800 |              0 |             0 |             0
 193 |                6 |    10 |         0 |    640000 |          0 |         0 |         0 |          3000 |             0 |         25600 |              0 |             0 |             0
 194 |                7 |     1 |         0 |         0 |        500 |         0 |         0 |           300 |             0 |             0 |            120 |             0 |             0
 195 |                7 |     2 |         0 |         0 |       1000 |         0 |         0 |           600 |             0 |             0 |            100 |             0 |             0
 196 |                7 |     3 |         0 |         0 |       3000 |         0 |         0 |           900 |             0 |             0 |            200 |             0 |             0
 197 |                7 |     4 |         0 |         0 |      10000 |         0 |         0 |          1200 |             0 |             0 |            400 |             0 |             0
 198 |                7 |     5 |         0 |         0 |      20000 |         0 |         0 |          1500 |             0 |             0 |            800 |             0 |             0
 199 |                7 |     6 |         0 |         0 |      40000 |         0 |         0 |          1800 |             0 |             0 |           1600 |             0 |             0
 200 |                7 |     7 |         0 |         0 |      80000 |         0 |         0 |          2100 |             0 |             0 |           3200 |             0 |             0
 201 |                7 |     8 |         0 |         0 |     160000 |         0 |         0 |          2400 |             0 |             0 |           6400 |             0 |             0
 202 |                7 |     9 |         0 |         0 |     320000 |         0 |         0 |          2700 |             0 |             0 |          12800 |             0 |             0
 203 |                7 |    10 |         0 |         0 |     640000 |         0 |         0 |          3000 |             0 |             0 |          25600 |             0 |             0
 204 |                8 |     1 |         0 |         0 |          0 |       500 |         0 |           300 |             0 |             0 |              0 |           120 |             0
 205 |                8 |     2 |         0 |         0 |          0 |      1000 |         0 |           600 |             0 |             0 |              0 |           100 |             0
 206 |                8 |     3 |         0 |         0 |          0 |      3000 |         0 |           900 |             0 |             0 |              0 |           200 |             0
 207 |                8 |     4 |         0 |         0 |          0 |     10000 |         0 |          1200 |             0 |             0 |              0 |           400 |             0
 208 |                8 |     5 |         0 |         0 |          0 |     20000 |         0 |          1500 |             0 |             0 |              0 |           800 |             0
 209 |                8 |     6 |         0 |         0 |          0 |     40000 |         0 |          1800 |             0 |             0 |              0 |          1600 |             0
 210 |                8 |     7 |         0 |         0 |          0 |     80000 |         0 |          2100 |             0 |             0 |              0 |          3200 |             0
 211 |                8 |     8 |         0 |         0 |          0 |    160000 |         0 |          2400 |             0 |             0 |              0 |          6400 |             0
 212 |                8 |     9 |         0 |         0 |          0 |    320000 |         0 |          2700 |             0 |             0 |              0 |         12800 |             0
 213 |                8 |    10 |         0 |         0 |          0 |    640000 |         0 |          3000 |             0 |             0 |              0 |         25600 |             0
  44 |               10 |     1 |       500 |       500 |          0 |         0 |         0 |           300 |             0 |             0 |              0 |             0 |             0
  45 |               10 |     2 |      1000 |      1000 |          0 |         0 |         0 |           600 |             0 |             0 |              0 |             0 |             0
  46 |               10 |     3 |      3000 |      3000 |          0 |         0 |         0 |           900 |             0 |             0 |              0 |             0 |             0
  47 |               10 |     4 |     10000 |     10000 |          0 |         0 |         0 |          1200 |             0 |             0 |              0 |             0 |             0
  48 |               10 |     5 |     20000 |     20000 |          0 |         0 |         0 |          1500 |             0 |             0 |              0 |             0 |             0
  49 |               10 |     6 |     40000 |     40000 |          0 |         0 |         0 |          1800 |             0 |             0 |              0 |             0 |             0
  50 |               10 |     7 |     80000 |     80000 |          0 |         0 |         0 |          2100 |             0 |             0 |              0 |             0 |             0
  51 |               10 |     8 |    160000 |    160000 |          0 |         0 |         0 |          2400 |             0 |             0 |              0 |             0 |             0
  52 |               10 |     9 |    320000 |    320000 |          0 |         0 |         0 |          2700 |             0 |             0 |              0 |             0 |             0
  53 |               10 |    10 |    640000 |    640000 |          0 |         0 |         0 |          3000 |             0 |             0 |              0 |             0 |             0
  54 |               11 |     1 |         0 |      1000 |          0 |         0 |         0 |           300 |             0 |             0 |              0 |             0 |             0
  55 |               11 |     2 |         0 |      3000 |          0 |         0 |         0 |           600 |             0 |             0 |              0 |             0 |             0
  56 |               11 |     3 |         0 |     10000 |          0 |         0 |         0 |           900 |             0 |             0 |              0 |             0 |             0
  57 |               11 |     4 |         0 |     30000 |          0 |         0 |         0 |          1200 |             0 |             0 |              0 |             0 |             0
  58 |               11 |     5 |         0 |     60000 |          0 |         0 |         0 |          1500 |             0 |             0 |              0 |             0 |             0
  59 |               11 |     6 |         0 |    120000 |          0 |         0 |         0 |          1800 |             0 |             0 |              0 |             0 |             0
  60 |               11 |     7 |         0 |    240000 |          0 |         0 |         0 |          2100 |             0 |             0 |              0 |             0 |             0
  61 |               11 |     8 |         0 |    480000 |          0 |         0 |         0 |          2400 |             0 |             0 |              0 |             0 |             0
